205490000438,C. E. R. BOTIJUELA,205490001353,C. E. R. VALE PAVAS,Antioquia,URABA,Necocli,490,42,Activo
205660000209,SAN PABLO,205660000853,I. E. R. LA JOSEFINA,Antioquia,ORIENTE,San Luis,660,42,Activo
205002000441,C. E. R. SANTA CATALINA,105002000047,I. E. FUNDACION CELIA DUQUE DE DUQUE,Antioquia,ORIENTE,Abejorral,002,41,Activo
205044000238,C. E. R. MONTE REDONDO,105044000128,I. E. ANZA,Antioquia,OCCIDENTE,Anza,044,41,Activo
205154000039,E. R. LA VIRGEN,205154000438,C. E. R. SANTA ROSITA,Antioquia,BAJO CAUCA,Caucasia,154,41,Activo
205576000392,C. E. R. CORINTO,205576000147,C. E. R. LUIS FELIPE RESTREPO HERRERA,Antioquia,SUROESTE,Pueblorrico,576,41,Activo
205665000452,C. E. R. SAN EMIGDIO,205665000789,C. E. R. BETANIA,Antioquia,URABA,San Pedro De Uraba,665,41,Activo
205665001033,C. E. R. SANTA ROSA,405665000443,C. E. R. SAN PABLO APOSTOL,Antioquia,URABA,San Pedro De Uraba,665,41,Activo
205172000259,C. E. R. EL PLATANO,205172000267,I. E. R. NEL UPEGUI,Antioquia,URABA,Chigorodo,172,40,Activo
205318000337,C. E. R. LA MILAGROSA,205318000345,I. E. R. HOJAS ANCHAS,Antioquia,ORIENTE,Guarne,318,40,Activo
205440000224,C. E. R. JUAN DUQUE ESTRADA,205440000267,I. E. R. FRANCISCO MANZUETO GIRALDO,Antioquia,ORIENTE,Marinilla,440,40,Activo
205440000283,C. E. R. GABRIEL DUQUE GOMEZ,105440000408,I. E. R. TECNICO DE MARINILLA,Antioquia,ORIENTE,Marinilla,440,39,Activo
205147000139,C. E. R. LA UNION,205147000457,I. E. R. EL CERRO,Antioquia,URABA,Carepa,147,38,Activo
205154001477,RIO VIEJO,205154000128,C. E. R. RIVERAS DEL CAUCA,Antioquia,BAJO CAUCA,Caucasia,154,38,Activo
205209000483,C. E. R. EL SOCORRO,205209000211,C. E. R. YARUMAL,Antioquia,SUROESTE,Concordia,209,38,Activo
205411000070,SAN PASCUAL,105411000199,I. E. SAN FRANCISCO DE ASIS,Antioquia,OCCIDENTE,Liborina,411,38,Activo
205628000191,C. E. R. LA PEDRONA,205628000043,I. E. R. EL JUNCO,Antioquia,OCCIDENTE,Sabanalarga,628,38,Activo
205002000599,C. E. R. PEDRO PABLO BETANCUR,205002000611,I. E. R. ZOILA DUQUE BAENA,Antioquia,ORIENTE,Abejorral,002,37,Activo
205664000491,SAN JUAN,105664000292,I. E. PADRE ROBERTO ARROYAVE VELEZ,Antioquia,NORTE,San Pedro,664,37,Activo
205093000359,C. E. R. SAN MATEO,205093000260,I. E. FRANCISCO CESAR,Antioquia,SUROESTE,Betulia,093,36,Activo
205240000688,I. E. R. LA PLACITA,205240000351,I. E. R. PRESBITERO GABRIEL YEPES YEPES,Antioquia,OCCIDENTE,Ebejico,240,36,Activo
205284001304,C. E. R. INDIGENISTA SAN MIGUEL,205284001134,C. E. R. INDIGENA DE GARZON PEGADO,Antioquia,OCCIDENTE,Frontino,284,36,Activo
205440000071,C. E. R. PRESBITERO MARCOS DUQUE S,205440000160,C. E. R. FABIAN SEBASTIAN JIMENEZ,Antioquia,ORIENTE,Marinilla,440,36,Activo
205490002104,E. R. ZAPATICA,205490000578,I. E. R. ZAPATA,Antioquia,URABA,Necocli,490,35,Activo
205664000173,C. E. R. EL ESPINAL,205664000173,C. E. R. EL ESPINAL,Antioquia,NORTE,San Pedro,664,35,Activo
205664000556,LA LANA,205664000165,I. E. R. EL TAMBO,Antioquia,NORTE,San Pedro,664,35,Activo
205628000116,I. E. R. TESORERITO,105628000227,I. E. SAN JOSE,Antioquia,OCCIDENTE,Sabanalarga,628,35,Activo
205490000713,E. R. IGUANA PORVENIR,205490000578,I. E. R. ZAPATA,Antioquia,URABA,Necocli,490,33,Activo
205051001525,C. E. R. BOCAS DEL RIO SAN JUAN,205659000611,C. E. R. SAN JUAN ORIENTAL,Antioquia,URABA,San Juan De Uraba,659,33,Activo
205690000238,E. R. LAS BEATRICES,205690000271,I. E. R. BOTERO,Antioquia,NORDESTE,Santo Domingo,690,33,Activo
205147000465,C. E. R. BOCAS DE CHIGORODO,205147000457,I. E. R. EL CERRO,Antioquia,URABA,Carepa,147,32,Activo
205154000543,E. R. RISARALDA,205154000896,I. E. MARGENTO,Antioquia,BAJO CAUCA,Caucasia,154,32,Activo
205284001223,C. E. R. QUIPARADO BAJO,205284001134,C. E. R. INDIGENA DE GARZON PEGADO,Antioquia,OCCIDENTE,Frontino,284,32,Activo
205411000398,EL PORVENIR,105411000199,I. E. SAN FRANCISCO DE ASIS,Antioquia,OCCIDENTE,Liborina,411,32,Activo
205649001171,C. E. R. FRONTERITAS,205649000426,I. E. R. PUERTO GARZA,Antioquia,ORIENTE,San Carlos,649,32,Activo
205051001908,C. E. R. BOCA TAPADA,205051000189,C. E. R. SAN JUANCITO,Antioquia,URABA,San Juan De Uraba,659,32,Activo
205665001351,C. E. R. ZUMBIDO ABAJO,205665000495,C. E. R. LOS ALMAGROS,Antioquia,URABA,San Pedro De Uraba,665,32,Activo
205761000218,C. E. R. SANTA RITA,205761000218,C. E. R. SANTA RITA,Antioquia,OCCIDENTE,Sopetran,761,32,Activo
205209000599,C. E. R. LA AURORA,205209000360,C. E. R. LAS ANIMAS,Antioquia,SUROESTE,Concordia,209,31,Activo
205264000034,C. E. R. LA CONCORDIA,205264000123,C. E. R. YERBABUENAL,Antioquia,NORTE,Entrerrios,264,31,Activo
205579000041,C. E. R. CRISTALINA,205579000504,C. E. R. LA MESETA,Antioquia,MAGDALENA MEDIO,Puerto Berrio,579,31,Activo
205686000258,C. E. R. EL HATO,205686000801,I. E. R. HOYO RICO,Antioquia,NORTE,Santa Rosa De Osos,686,31,Activo
205756001311,C. E. R. LA HERMOSA,205756001044,I. E. R. LA DANTA,Antioquia,ORIENTE,Sonson,756,31,Activo
205172007733,C. E. R. VERACRUZ UNO,205172000267,I. E. R. NEL UPEGUI,Antioquia,URABA,Chigorodo,172,30,Activo
205376000169,C. E. R. SALVADOR BERMUDEZ,205376000053,C. E. R. MARIA ESTEVEZ,Antioquia,ORIENTE,La Ceja,376,30,Activo
205490002155,E. R. LA CENIZOSA,205490001337,I. E. R. TULAPITA,Antioquia,URABA,Necocli,490,30,Activo
205051000634,C. E. R. PLAN PAREJO,205051001347,I. E. R. BUENOS AIRES,Antioquia,URABA,Arboletes,051,29,Activo
205172000828,C. E. R. CHAMPITAS,205172000267,I. E. R. NEL UPEGUI,Antioquia,URABA,Chigorodo,172,29,Activo
